function_name,py_file,line_number
__init__,extract_functions.py,17
visit_ClassDef,extract_functions.py,22
visit_FunctionDef,extract_functions.py,29
visit_AsyncFunctionDef,extract_functions.py,43
extract_functions_from_file,extract_functions.py,54
scan_directory,extract_functions.py,85
generate_csv,extract_functions.py,105
main,extract_functions.py,123
__init__,macos/src/app.py,29
start,macos/src/app.py,54
_cleanup,macos/src/app.py,60
_load_authentication,macos/src/app.py,70
_drain_events,macos/src/app.py,80
_handle_device_connected,macos/src/app.py,87
_handle_device_removed,macos/src/app.py,131
_handle_timeout,macos/src/app.py,150
_authorize_device,macos/src/app.py,158
_power_only,macos/src/app.py,197
_deny_device,macos/src/app.py,219
_close_dialog,macos/src/app.py,232
_verify_code,macos/src/app.py,246
main,macos/src/app.py,260
_ensure_repo_on_path,macos/src/path_setup.py,9
_cf_string,macos/src/usb_blocker.py,58
_cf_number,macos/src/usb_blocker.py,62
_io_service_for_location,macos/src/usb_blocker.py,67
block_device,macos/src/usb_blocker.py,94
allow_device,macos/src/usb_blocker.py,100
power_only,macos/src/usb_blocker.py,104
_set_port_disabled,macos/src/usb_blocker.py,109
_force_unmount,macos/src/usb_blocker.py,122
to_dict,macos/src/usb_monitor.py,34
__init__,macos/src/usb_monitor.py,49
start,macos/src/usb_monitor.py,56
stop,macos/src/usb_monitor.py,63
get_events,macos/src/usb_monitor.py,69
_run,macos/src/usb_monitor.py,78
_enumerate_devices,macos/src/usb_monitor.py,92
_flatten_items,macos/src/usb_monitor.py,120
_parse_device,macos/src/usb_monitor.py,128
_extract_hex,macos/src/usb_monitor.py,150
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,17
visit_ClassDef,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,22
visit_FunctionDef,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,29
visit_AsyncFunctionDef,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,43
extract_functions_from_file,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,54
scan_directory,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,85
generate_csv,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,105
main,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/extract_functions.py,123
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,29
start,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,54
_cleanup,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,60
_load_authentication,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,70
_drain_events,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,80
_handle_device_connected,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,87
_handle_device_removed,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,131
_handle_timeout,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,150
_authorize_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,158
_power_only,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,197
_deny_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,219
_close_dialog,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,232
_verify_code,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,246
main,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/app.py,260
_ensure_repo_on_path,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/path_setup.py,9
_cf_string,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,58
_cf_number,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,62
_io_service_for_location,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,67
block_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,94
allow_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,100
power_only,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,104
_set_port_disabled,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,109
_force_unmount,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_blocker.py,122
to_dict,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,34
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,49
start,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,56
stop,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,63
get_events,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,69
_run,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,78
_enumerate_devices,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,92
_flatten_items,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,120
_parse_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,128
_extract_hex,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/macos/src/usb_monitor.py,150
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,17
visit_ClassDef,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,22
visit_FunctionDef,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,29
visit_AsyncFunctionDef,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,43
extract_functions_from_file,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,54
scan_directory,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,85
generate_csv,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,105
main,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/extract_functions.py,123
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,29
start,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,54
_cleanup,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,60
_load_authentication,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,70
_drain_events,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,80
_handle_device_connected,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,87
_handle_device_removed,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,131
_handle_timeout,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,150
_authorize_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,158
_power_only,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,197
_deny_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,219
_close_dialog,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,232
_verify_code,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,246
main,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/app.py,260
_ensure_repo_on_path,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/path_setup.py,9
_cf_string,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,58
_cf_number,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,62
_io_service_for_location,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,67
block_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,94
allow_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,100
power_only,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,104
_set_port_disabled,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,109
_force_unmount,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_blocker.py,122
to_dict,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,34
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,49
start,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,56
stop,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,63
get_events,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,69
_run,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,78
_enumerate_devices,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,92
_flatten_items,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,120
_parse_device,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,128
_extract_hex,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/macos/src/usb_monitor.py,150
__getattr__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/__init__.py,6
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,35
_build_ui,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,61
_format_device_text,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,122
_on_text_changed,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,129
_update_countdown_label,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,138
_tick,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,143
_handle_submit,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,153
_handle_deny,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,170
show_error,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,174
closeEvent,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/dialog.py,178
run_cli_setup,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/ports/shared/setup_cli.py,18
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,25
_init_encryption,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,51
save_auth_data,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,90
load_auth_data,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,128
is_configured,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,158
remove_recovery_code,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,167
get_remaining_recovery_codes_count,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,198
reset_auth,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,211
export_config,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,226
import_config,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/storage.py,268
__init__,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/totp.py,19
get_secret,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/totp.py,35
get_provisioning_uri,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/totp.py,44
verify_code,packaging/appimage/build/SecureUSB.AppDir/usr/lib/secureusb/packaging/rpm/.build/secureusb-1.0.0/src/auth/totp.py,61
