function_name,py_file,line_number
SecureUSBDaemon.__init__,src/daemon/service.py,32
SecureUSBDaemon._load_authentication,src/daemon/service.py,75
SecureUSBDaemon._handle_device_event,src/daemon/service.py,92
SecureUSBDaemon._handle_device_connected,src/daemon/service.py,105
SecureUSBDaemon._handle_device_disconnected,src/daemon/service.py,164
SecureUSBDaemon._handle_authorization_request,src/daemon/service.py,196
SecureUSBDaemon._verify_authentication,src/daemon/service.py,256
SecureUSBDaemon._authorize_device_full,src/daemon/service.py,287
SecureUSBDaemon._authorize_device_power_only,src/daemon/service.py,320
SecureUSBDaemon._deny_device,src/daemon/service.py,349
SecureUSBDaemon._handle_authorization_timeout,src/daemon/service.py,374
SecureUSBDaemon._handle_config_request,src/daemon/service.py,403
SecureUSBDaemon.start,src/daemon/service.py,462
SecureUSBDaemon.stop,src/daemon/service.py,491
SecureUSBDaemon._handle_signal,src/daemon/service.py,507
main,src/daemon/service.py,513
USBDevice.__init__,src/daemon/usb_monitor.py,19
USBDevice._read_sysfs_attributes,src/daemon/usb_monitor.py,41
USBDevice.is_valid_device,src/daemon/usb_monitor.py,75
USBDevice.get_display_name,src/daemon/usb_monitor.py,94
USBDevice.to_dict,src/daemon/usb_monitor.py,108
USBDevice.__str__,src/daemon/usb_monitor.py,126
USBMonitor.__init__,src/daemon/usb_monitor.py,134
USBMonitor.start,src/daemon/usb_monitor.py,154
USBMonitor.stop,src/daemon/usb_monitor.py,179
USBMonitor._on_event,src/daemon/usb_monitor.py,192
USBMonitor.scan_existing_devices,src/daemon/usb_monitor.py,240
USBMonitor.is_running,src/daemon/usb_monitor.py,261
device_event_handler,src/daemon/usb_monitor.py,278
signal_handler,src/daemon/usb_monitor.py,306
AuthorizationDialog.__init__,src/gui/auth_dialog.py,25
AuthorizationDialog._build_ui,src/gui/auth_dialog.py,53
AuthorizationDialog._start_countdown,src/gui/auth_dialog.py,192
AuthorizationDialog._update_countdown,src/gui/auth_dialog.py,196
AuthorizationDialog._on_totp_changed,src/gui/auth_dialog.py,214
AuthorizationDialog._on_totp_activate,src/gui/auth_dialog.py,226
AuthorizationDialog._on_connect_clicked,src/gui/auth_dialog.py,231
AuthorizationDialog._on_power_only_clicked,src/gui/auth_dialog.py,241
AuthorizationDialog._on_deny_clicked,src/gui/auth_dialog.py,251
AuthorizationDialog._authorize_device,src/gui/auth_dialog.py,255
AuthorizationDialog._deny_device,src/gui/auth_dialog.py,304
AuthorizationDialog._auto_deny,src/gui/auth_dialog.py,317
AuthorizationDialog._deny_and_stop,src/gui/auth_dialog.py,319
AuthorizationDialog._show_error,src/gui/auth_dialog.py,326
show_authorization_dialog,src/gui/auth_dialog.py,342
on_activate,src/gui/auth_dialog.py,376
SecureUSBClient.__init__,src/gui/client.py,30
SecureUSBClient.do_activate,src/gui/client.py,40
SecureUSBClient._connect_signals,src/gui/client.py,62
SecureUSBClient._check_pending_devices,src/gui/client.py,68
SecureUSBClient._on_device_connected,src/gui/client.py,81
SecureUSBClient._on_device_disconnected,src/gui/client.py,95
SecureUSBClient._on_authorization_result,src/gui/client.py,110
SecureUSBClient._show_authorization_dialog,src/gui/client.py,130
SecureUSBClient._on_dialog_closed,src/gui/client.py,155
SecureUSBClient._show_notification,src/gui/client.py,167
main,src/gui/client.py,190
SecureUSBIndicator.__init__,src/gui/indicator.py,54
SecureUSBIndicator._connect_dbus,src/gui/indicator.py,96
SecureUSBIndicator._on_protection_changed,src/gui/indicator.py,112
SecureUSBIndicator._update_state,src/gui/indicator.py,115
SecureUSBIndicator._on_toggle,src/gui/indicator.py,126
SecureUSBIndicator._launch_command,src/gui/indicator.py,140
main,src/gui/indicator.py,147
SetupWizard.__init__,src/gui/setup_wizard.py,27
SetupWizard._create_welcome_page,src/gui/setup_wizard.py,67
SetupWizard._create_qr_page,src/gui/setup_wizard.py,124
SetupWizard._create_recovery_codes_page,src/gui/setup_wizard.py,191
SetupWizard._create_test_page,src/gui/setup_wizard.py,276
SetupWizard._create_complete_page,src/gui/setup_wizard.py,333
SetupWizard._show_page,src/gui/setup_wizard.py,381
SetupWizard._next_page,src/gui/setup_wizard.py,394
SetupWizard._previous_page,src/gui/setup_wizard.py,398
SetupWizard._generate_totp,src/gui/setup_wizard.py,402
SetupWizard._clear_clipboard_after_timeout,src/gui/setup_wizard.py,449
SetupWizard.clear_clipboard,src/gui/setup_wizard.py,451
SetupWizard._on_copy_secret,src/gui/setup_wizard.py,459
SetupWizard._on_copy_recovery_codes,src/gui/setup_wizard.py,467
SetupWizard._test_code,src/gui/setup_wizard.py,475
SetupWizard._save_configuration,src/gui/setup_wizard.py,502
SetupWizard._finish_setup,src/gui/setup_wizard.py,515
run_setup_wizard,src/gui/setup_wizard.py,521
on_activate,src/gui/setup_wizard.py,525
Config.__init__,src/utils/config.py,45
Config._load_config,src/utils/config.py,66
Config._merge_configs,src/utils/config.py,83
Config.save,src/utils/config.py,104
Config.get,src/utils/config.py,119
Config.set,src/utils/config.py,140
Config.reset_to_defaults,src/utils/config.py,169
Config.is_enabled,src/utils/config.py,179
Config.set_enabled,src/utils/config.py,183
Config.get_timeout,src/utils/config.py,195
Config.set_timeout,src/utils/config.py,199
Config.export_config,src/utils/config.py,212
Config.import_config,src/utils/config.py,230
USBLogger.__init__,src/utils/logger.py,35
USBLogger._init_database,src/utils/logger.py,54
USBLogger._auto_cleanup,src/utils/logger.py,90
USBLogger.log_event,src/utils/logger.py,103
USBLogger.get_recent_events,src/utils/logger.py,161
USBLogger.get_events_by_date_range,src/utils/logger.py,186
USBLogger.get_device_history,src/utils/logger.py,214
USBLogger.get_failed_auth_attempts,src/utils/logger.py,239
USBLogger.cleanup_old_events,src/utils/logger.py,266
USBLogger.get_statistics,src/utils/logger.py,292
USBLogger.export_to_csv,src/utils/logger.py,334
_default_system_dir,src/utils/paths.py,22
_default_pointer_file,src/utils/paths.py,37
_read_pointer_file,src/utils/paths.py,54
resolve_config_dir,src/utils/paths.py,72
DeviceWhitelist.__init__,src/utils/whitelist.py,20
DeviceWhitelist._load_whitelist,src/utils/whitelist.py,37
DeviceWhitelist._save_whitelist,src/utils/whitelist.py,53
DeviceWhitelist.add_device,src/utils/whitelist.py,68
DeviceWhitelist.remove_device,src/utils/whitelist.py,107
DeviceWhitelist.is_whitelisted,src/utils/whitelist.py,122
DeviceWhitelist.get_device,src/utils/whitelist.py,134
DeviceWhitelist.update_usage,src/utils/whitelist.py,146
DeviceWhitelist.get_all_devices,src/utils/whitelist.py,162
DeviceWhitelist.clear_all,src/utils/whitelist.py,171
DeviceWhitelist.get_count,src/utils/whitelist.py,181
DeviceWhitelist.update_device_info,src/utils/whitelist.py,190
DeviceWhitelist.export_whitelist,src/utils/whitelist.py,223
DeviceWhitelist.import_whitelist,src/utils/whitelist.py,241
DeviceWhitelist.search_devices,src/utils/whitelist.py,270
DeviceInfo.parse_device_path,src/utils/whitelist.py,302
DeviceInfo.read_sysfs_attr,src/utils/whitelist.py,321
_DummyWindow.__init__,tests/test_auth_dialog.py,36
_DummyWindow.set_title,tests/test_auth_dialog.py,39
_DummyWindow.set_default_size,tests/test_auth_dialog.py,42
_DummyWindow.set_modal,tests/test_auth_dialog.py,45
_DummyWindow.set_deletable,tests/test_auth_dialog.py,48
_DummyWindow.set_content,tests/test_auth_dialog.py,51
_DummyWindow.close,tests/test_auth_dialog.py,54
_DummyToastOverlay.__init__,tests/test_auth_dialog.py,64
_DummyToastOverlay.set_child,tests/test_auth_dialog.py,68
_DummyToastOverlay.add_toast,tests/test_auth_dialog.py,71
_DummyToast.__init__,tests/test_auth_dialog.py,78
_DummyToast.new,tests/test_auth_dialog.py,82
_DummyToast.set_priority,tests/test_auth_dialog.py,85
_DummyToast.set_timeout,tests/test_auth_dialog.py,88
_DummyApplication.__init__,tests/test_auth_dialog.py,105
_DummyApplication.connect,tests/test_auth_dialog.py,108
_DummyApplication.run,tests/test_auth_dialog.py,111
_DummyApplication.quit,tests/test_auth_dialog.py,114
_DummyApplication.send_notification,tests/test_auth_dialog.py,117
_DummyNotification.__init__,tests/test_auth_dialog.py,125
_DummyNotification.new,tests/test_auth_dialog.py,131
_DummyNotification.set_body,tests/test_auth_dialog.py,134
_DummyNotification.set_icon,tests/test_auth_dialog.py,137
_DummyThemedIcon.__init__,tests/test_auth_dialog.py,142
_DummyThemedIcon.new,tests/test_auth_dialog.py,146
TestAuthorizationDialogAutoDeny.setUp,tests/test_auth_dialog.py,185
TestAuthorizationDialogAutoDeny.tearDown,tests/test_auth_dialog.py,198
TestAuthorizationDialogAutoDeny.test_auto_deny_runs_once,tests/test_auth_dialog.py,203
TestAuthorizationDialogAutoDeny.fake_timeout,tests/test_auth_dialog.py,207
TestUSBAuthorizationBasics.test_is_root_true,tests/test_authorization.py,24
TestUSBAuthorizationBasics.test_is_root_false,tests/test_authorization.py,30
TestUSBAuthorizationBasics.test_get_device_path_valid,tests/test_authorization.py,35
TestUSBAuthorizationBasics.test_get_device_path_with_colon,tests/test_authorization.py,41
TestUSBAuthorizationBasics.test_get_device_path_invalid_characters,tests/test_authorization.py,47
TestUSBAuthorizationBasics.test_get_device_path_with_slash,tests/test_authorization.py,53
TestUSBAuthorizationDeviceExists.test_device_exists_true,tests/test_authorization.py,63
TestUSBAuthorizationDeviceExists.test_device_exists_false,tests/test_authorization.py,74
TestUSBAuthorizationModes.test_authorization_modes_exist,tests/test_authorization.py,87
TestUSBAuthorizationModes.test_blocked_and_power_only_same,tests/test_authorization.py,93
TestUSBAuthorizationAuthorizeDevice.test_authorize_device_not_root,tests/test_authorization.py,105
TestUSBAuthorizationAuthorizeDevice.test_authorize_device_success,tests/test_authorization.py,113
TestUSBAuthorizationAuthorizeDevice.test_authorize_device_file_not_found,tests/test_authorization.py,131
TestUSBAuthorizationAuthorizeDevice.test_authorize_device_permission_error,tests/test_authorization.py,144
TestUSBAuthorizationGetStatus.test_get_authorization_status_authorized,tests/test_authorization.py,164
TestUSBAuthorizationGetStatus.test_get_authorization_status_blocked,tests/test_authorization.py,178
TestUSBAuthorizationGetStatus.test_get_authorization_status_file_not_found,tests/test_authorization.py,191
TestUSBAuthorizationBlockAllow.test_block_device,tests/test_authorization.py,206
TestUSBAuthorizationBlockAllow.test_allow_device,tests/test_authorization.py,224
TestUSBAuthorizationReadAttribute.test_read_device_attribute_exists,tests/test_authorization.py,245
TestUSBAuthorizationReadAttribute.test_read_device_attribute_not_exists,tests/test_authorization.py,258
TestUSBAuthorizationGetDeviceInfo.test_get_device_info_success,tests/test_authorization.py,274
TestUSBAuthorizationGetDeviceInfo.test_get_device_info_nonexistent_device,tests/test_authorization.py,304
TestUSBAuthorizationSetDefault.test_set_default_authorization_not_root,tests/test_authorization.py,316
TestUSBAuthorizationSetDefault.test_set_default_authorization_success,tests/test_authorization.py,324
TestConfig.setUp,tests/test_config.py,16
TestConfig.tearDown,tests/test_config.py,21
TestConfig.test_initialization,tests/test_config.py,26
TestConfig.test_default_config_created,tests/test_config.py,31
TestConfig.test_get_existing_key,tests/test_config.py,39
TestConfig.test_get_nonexistent_key_with_default,tests/test_config.py,45
TestConfig.test_get_nested_key,tests/test_config.py,50
TestConfig.test_set_value,tests/test_config.py,56
TestConfig.test_set_nested_value,tests/test_config.py,65
TestConfig.test_set_new_section,tests/test_config.py,73
TestConfig.test_save_and_load,tests/test_config.py,81
TestConfig.test_is_enabled,tests/test_config.py,94
TestConfig.test_set_enabled,tests/test_config.py,101
TestConfig.test_get_timeout,tests/test_config.py,111
TestConfig.test_set_timeout,tests/test_config.py,116
TestConfig.test_set_timeout_bounds,tests/test_config.py,122
TestConfig.test_reset_to_defaults,tests/test_config.py,136
TestConfig.test_export_config,tests/test_config.py,150
TestConfig.test_import_config,tests/test_config.py,158
TestConfig.test_merge_with_defaults,tests/test_config.py,181
TestDBusConstants.test_service_name,tests/test_dbus_service.py,43
